Rank,Name,City,Time,Race
1,Matt Barrett,Verona,2:23:43,Chicago
2,Keith Bechtol,Madison,2:26:13,Chicago
3,Zachary Bruns,Milwaukee,2:27:14,Milwaukee Running Festival
4,Brian Finnel,Madison,2:27:33,Chicago
5,Thomas Breitbach,Madison,2:27:34,Milwaukee Running Festival
6,Kyle Fraser,West Milwaukee,2:27:37,Lakefront
7,Jason Ryf,Oshkosh,2:28:25,Twin Cities
8,Aaron Viets,Whitefish Bay,2:28:59,Lakefront
9,Zachary Meineke,Wauwatosa,2:29:38,Boston
10,Connor Callahan,Wauwatosa,2:30:02,Green Bay
11,Scott Allen,Milwaukee,2:30:35,Lakefront
12,Cameron Ausen,Milwaukee,2:32:05,Boston
13,Francis Eanes,Madison,2:32:40,Chicago
14,Steve Johnson,Fitchburg,2:33:02,Columbus
15,Patrick J. Klein,Prairie Du Chien,2:33:36,Boston
16,Brice Cleland,NA,2:33:59,Lakefront
17,Michael Hartnett,NA,2:35:14,Lakefront
18,Nicholas Limoni,Milwaukee,2:35:18,Chicago
19,Kevin J. Gries,Cleveland,2:36:01,Boston
20,Cory Hayden,Madison,2:37:28,Madison Garden
21,Mason Grundy,NA,2:37:51,Fox Cities
22,Justin Goetz,Marshfield,2:38:02,Twin Cities
23,TJ Schmidt,Appleton,2:38:34,Fox Cities
24,Paul Rockwood,Superior,2:39:03,Grandma's
25,David Luy,Brookfield,2:39:11,Boston
26,Ben Garbe,Fitchburg,2:39:21,Lakefront
27,Greg Englehart,NA,2:39:40,Madison
28,Andrew Parsel,Oconomowoc,2:39:46,Chicago
29,Joshua Haase,NA,2:40:44,New York City
30,Craig Kuehl,New Berlin,2:40:55,Boston
31,Jake Hegge,Onalaska,2:40:59,Grandma's
32,Chris Schiemann,Middleton,2:41:03,Indianapolis Monumental
33,Hayden Hoffmann,NA,2:41:35,Fox Cities
34,Brian Falcone,Kenosha,2:41:40,Grandma's
35,Eric Tatge,Mequon,2:41:51,Lakefront
36,Robert Schneider,Milwaukee,2:42:00,Milwaukee Running Festival
37,Martin Hinze,Milwaukee,2:42:31,Milwaukee Running Festival
38,Zachary A Lutz,West Allis,2:43:23,Boston
39,David Krall,Madison,2:43:54,California International
40,Aaron Ziltener,Fitchburg,2:44:16,Chicago
41,Cameron Cummings,Appleton,2:44:18,California International
42,Rob G Hampton,Green Bay,2:44:30,Boston
43,Jeramia Cibulka,Poynette,2:44:48,Chicago
44,Luke Wieker,Hudson,2:45:06,Twin Cities
45,Michael Quesnell,Appleton,2:45:16,Chicago
46,Scott Hayden,Eau Claire,2:46:00,Eau Claire
47,Andrew Lepkowski,Waukesha,2:46:14,Milwaukee Running Festival
48,Trevor Koziczkowski,NA,2:46:29,Lakefront
49,Zach Ziesemer,New Holstein,2:46:32,Grandma's
50,Alec Fitzsimmons,Stanley,2:46:37,Grandma's
51,Matthew Krall,Madison,2:46:39,Boston
52,Justin M Deeg,Shell Lake,2:46:40,Boston
53,Mike Treder,Belleville,2:46:49,Milwaukee Running Festival
54,Thomas Datwyler,Hudson,2:46:51,Twin Cities
55,David Beeksma,Ashland,2:46:52,Grandma's
56,John Liddell,NA,2:47:36,Lakefront
57,Eric Johnson,La Crosse,2:47:37,Chicago
58,Sean Luedke,Waukesha,2:47:46,Disney World
59,Eric Hall,Madison,2:47:48,Chicago
60,Brandon Hinneberg,Port Washington,2:48:11,Twin Cities
61,Matthew Hupy,NA,2:48:50,Madison
62,Christian Wobeter,NA,2:49:09,Madison
63,Roman Pyasta,Milwaukee,2:49:27,California International
64,Sal Impellitteri,Oak Creek,2:49:46,Chicago
65,Tyler Zwagerman,Shorewood,2:50:00,Green Bay
66,Theodore A. Petermann,Shorewood,2:50:33,Boston
67,Jacob Mahaffey,Madison,2:50:36,Chicago
68,Brent Wathke,Eau Claire,2:50:44,Twin Cities
69,Joel Wood,Madison,2:50:53,Chicago
70,Chris Krajewski,Milwaukee,2:51:20,Milwaukee Running Festival
71,Zeke M. Dombrowski,Hales Corners,2:51:25,Boston
72,Grant MacKinnon,Salem,2:51:32,Lincoln
73,Derrek Pedersen,New Richmand,2:51:33,Grandma's
74,Justin Nale,Milwaukee,2:51:46,Minneapolis
75,Miles Oschwald,Wauwatosa,2:51:54,Madison Garden
76,Dana Schulz,Germantown,2:51:56,Twin Cities
77,Christopher Kuntz,Superior,2:52:09,Grandma's
78,Alexander Devillers,Milwaukee,2:52:26,Chicago
79,Greg D. Alleman,Lancaster,2:52:32,Boston
80,Jonah Grant,NA,2:52:42,Madison
81,Nathan Lebak,Lake Geneva,2:52:43,Chicago
82,Igor Stevic,Milwaukee,2:52:46,Lakefront
83,Jared Genteman,Loyal,2:52:49,Grandma's
84,Matthew Treat,Shorewood,2:52:59,Chicago
NA,Michael Nelson,NA,2:52:59,Lakefront
86,Zachary Longo,NA,2:53:02,Lakefront
87,Oscar Naxi,NA,2:53:43,Madison
88,Patrick Gaynor,NA,2:53:44,Lakefront
89,Nicholas Plocar,Sheboygan,2:53:54,All-American
90,Joseph W Pendleton,Shorewood,2:54:00,Boston
91,Karl T Poehls,Wauwatosa,2:54:07,Boston
92,Jeremy Olson,Greenwood,2:54:10,Chicago
93,Tim Kowols,Green Bay,2:54:13,Brookings
94,W. Michael Harris,Madison,2:54:15,Boston
95,David Cohen,Milwaukee,2:54:18,Milwaukee Running Festival
96,Sebastian Miller,Muskego,2:54:19,Boston
97,Martin McNally,Madison,2:54:24,Fargo
98,Cody Kleven,Stoughton,2:54:37,Boston
99,Brint Schwerbel,NA,2:54:53,Fox Cities
100,Ian Kloehn,NA,2:54:55,Lakefront
101,Kane A. Baker,Racine,2:54:59,Boston
102,Thomas Wells,Milwaukee,2:55:00,Boston
103,Peter Bernardy,De Pere,2:55:12,Green Bay
104,Calvin Mabie,Wauwatosa,2:55:14,Grandma's
NA,Robert T. Medina,Madison,2:55:14,Boston
106,Andrew Linquist,NA,2:55:38,Lakefront
107,Eddie Stenger,La Crosse,2:55:41,Mankato
108,Rick Faber,NA,2:56:12,Madison
109,Chris W Jungkans,Salem,2:56:26,Boston
110,Daniel Umhoefer,NA,2:56:27,Lakefront
111,Kevin Hopp,Stevens Point,2:56:31,Boston
112,John Lancaster,Milwaukee,2:56:32,Milwaukee Running Festival
113,Ben Orvold,Kenosha,2:56:35,Chicago
114,Tim Cigelske,NA,2:56:43,Lakefront
115,Matthew Goelzer,Milwaukee,2:56:53,Milwaukee Running Festival
116,Sean Finnigan,NA,2:57:01,Lakefront
117,Joshua E Johnson,Waukesha,2:57:06,Boston
118,Jonas Ryttie,South Wayne,2:57:12,Walker/North Country
119,Pete Schweinert,Brookfield,2:57:23,Milwaukee Running Festival
120,Rafael Carmona,Menomonee Falls,2:57:33,Grandma's
121,Jadrien Deibler,Mount Horeb,2:57:37,WhistleStop
122,Zach Carr,Milton,2:57:44,Naperville
123,Nick Sieske,NA,2:57:47,Fox Cities
124,Michael Trotta,Madison,2:57:48,Twin Cities
125,James Koceja,Burlington,2:57:55,Milwaukee Running Festival
126,Mitchell Easker,NA,2:58:11,Lakefront
127,Matt Jacobson,NA,2:58:16,Fox Cities
128,Steve Horn,Madison,2:58:18,Grandma's
129,Joe Ketarkus,NA,2:58:19,Lakefront
130,Dante Trotta,Kenosha,2:58:20,Chicago
131,Mike Beix,Caledonia,2:58:21,Boston
132,Anthony Kerhin,West Allis,2:58:26,Chicago
133,Hugo Naxi,NA,2:58:37,Madison
134,Brian Ronk,NA,2:58:44,Madison
135,Bret W Austin,Edgerton,2:58:52,Boston
136,Jeff Kobinsky,Wauwatosa,2:59:09,Boston
137,John Stuligross,Madison,2:59:18,Indianapolis Monumental
NA,Mark Siebenaller,NA,2:59:18,Fox Cities
139,Mark Sharafinski, Jr.,Wauwatosa,2:59:20,Chicago
140,Todd Smet,Madison,2:59:21,Minneapolis
NA,Trevor Wagner,Madison,2:59:21,Chicago
142,Jeff Hackel,Fitchburg,2:59:28,Chicago
143,Ben Wieker,Hudson,2:59:30,Twin Cities
NA,Rick Stefanovic,Milwaukee,2:59:30,Lakefront
145,Tyson Schmidt,Madison,2:59:37,Wausau
146,Matthew Hutter,NA,2:59:40,Fox Cities
NA,Steve Slade,Appleton,2:59:40,Boston
148,Andrew Garvey,NA,2:59:41,Lakefront
149,Andrew C Radtke,Wauwatosa,2:59:48,Boston
150,R. Sean Churchill,Mequon,2:59:53,Boston
151,Jeremy Duss,NA,2:59:57,Fox Cities
NA,Josh Kenworthy,Sparta,2:59:57,Grandma's
153,Andy Nesheim,NA,2:59:58,New York City
